filament_id,lat_centroid,lon_centroid,dec_time,date,product_id,datetime,mgrs_tile
2000,34.37641168852798,10.86990636545655,2017.713356861999,2017-09-18,S2A_MSIL1C_20170918T100021_N0500_R122_T32SPD_20231014T080243.SAFE,2017-09-18T10:11:07.848Z,Unknown
2001,34.93048124006646,11.02634993051274,2017.7407625887877,2017-09-28,S2A_MSIL1C_20170928T100021_N0500_R122_T32SPD_20230912T173224.SAFE,2017-09-28T10:11:08.261Z,Unknown
2002,34.89571857835096,11.048050607964502,2017.7407625887877,2017-09-28,S2A_MSIL1C_20170928T100021_N0500_R122_T32SPD_20230912T173224.SAFE,2017-09-28T10:11:08.261Z,Unknown
2003,34.78246630345979,11.085259816099118,2017.7407625887877,2017-09-28,S2A_MSIL1C_20170928T100021_N0500_R122_T32SPD_20230912T173224.SAFE,2017-09-28T10:11:08.261Z,Unknown
2004,34.69585514843039,10.773532778715644,2017.7407625887877,2017-09-28,S2A_MSIL1C_20170928T100021_N0500_R122_T32SPD_20230912T173224.SAFE,2017-09-28T10:11:08.261Z,Unknown
2005,34.5268965287383,10.594493540992994,2017.7407625887877,2017-09-28,S2A_MSIL1C_20170928T100021_N0500_R122_T32SPD_20230912T173224.SAFE,2017-09-28T10:11:08.261Z,Unknown
2006,34.24836028385923,10.173522176382614,2017.7407625887877,2017-09-28,S2A_MSIL1C_20170928T100021_N0500_R122_T32SNC_20230912T173224.SAFE,2017-09-28T10:11:25.939Z,Unknown
2007,34.75901127135074,10.910450556555048,2017.7681543632675,2017-10-08,S2A_MSIL1C_20171008T100031_N0500_R122_T32SPD_20231015T105525.SAFE,2017-10-08T10:11:09.94Z,Unknown
2008,34.67971560127734,10.886128065500298,2017.7681543632675,2017-10-08,S2A_MSIL1C_20171008T100031_N0500_R122_T32SPD_20231015T105525.SAFE,2017-10-08T10:11:09.94Z,Unknown
2009,34.661830507310874,10.900957686459655,2017.7681543632675,2017-10-08,S2A_MSIL1C_20171008T100031_N0500_R122_T32SPD_20231015T105525.SAFE,2017-10-08T10:11:09.94Z,Unknown
2010,34.33610845820335,10.365429591470877,2017.7681543632675,2017-10-08,S2A_MSIL1C_20171008T100031_N0500_R122_T32SPC_20231015T105525.SAFE,2017-10-08T10:11:24.458Z,Unknown
2011,34.32791698587729,10.357017006717408,2017.7681543632675,2017-10-08,S2A_MSIL1C_20171008T100031_N0500_R122_T32SPC_20231015T105525.SAFE,2017-10-08T10:11:24.458Z,Unknown
2012,34.27424157362928,10.188244430406614,2017.7681543632675,2017-10-08,S2A_MSIL1C_20171008T100031_N0500_R122_T32SNC_20231015T105525.SAFE,2017-10-08T10:11:27.624Z,Unknown
2013,34.970899119812714,11.210924516233824,2017.79555032344,2017-10-18,S2A_MSIL1C_20171018T100031_N0500_R122_T32SPD_20231015T175358.SAFE,2017-10-18T10:11:10.853Z,Unknown
2014,34.78759630807279,10.921967526717884,2017.79555032344,2017-10-18,S2A_MSIL1C_20171018T100031_N0500_R122_T32SPD_20231015T175358.SAFE,2017-10-18T10:11:10.853Z,Unknown
2015,34.74838127731212,10.91002395015014,2017.79555032344,2017-10-18,S2A_MSIL1C_20171018T100031_N0500_R122_T32SPD_20231015T175358.SAFE,2017-10-18T10:11:10.853Z,Unknown
2016,34.70337377018449,10.88207314365278,2017.79555032344,2017-10-18,S2A_MSIL1C_20171018T100031_N0500_R122_T32SPD_20231015T175358.SAFE,2017-10-18T10:11:10.853Z,Unknown
2017,34.687785718726886,10.763585470946628,2017.79555032344,2017-10-18,S2A_MSIL1C_20171018T100031_N0500_R122_T32SPD_20231015T175358.SAFE,2017-10-18T10:11:10.853Z,Unknown
2018,34.40069610933876,10.581610926320778,2017.79555032344,2017-10-18,S2A_MSIL1C_20171018T100031_N0500_R122_T32SPD_20231015T175358.SAFE,2017-10-18T10:11:10.853Z,Unknown
2019,34.28860694818632,10.222326764769052,2017.79555032344,2017-10-18,S2A_MSIL1C_20171018T100031_N0500_R122_T32SPC_20231015T175358.SAFE,2017-10-18T10:11:25.367Z,Unknown
2020,34.26788700023856,10.222759403697738,2017.79555032344,2017-10-18,S2A_MSIL1C_20171018T100031_N0500_R122_T32SPC_20231015T175358.SAFE,2017-10-18T10:11:25.367Z,Unknown
2021,34.28363455202158,10.210211321319091,2017.8507408041603,2017-11-07,S2A_MSIL1C_20171107T100221_N0500_R122_T32SPC_20231012T153301.SAFE,2017-11-07T10:11:24.925Z,Unknown
2022,34.28234537190635,10.243413461300635,2017.8780709030948,2017-11-17,S2A_MSIL1C_20171117T100301_N0500_R122_T32SPC_20231015T213338.SAFE,2017-11-17T10:11:23.471Z,Unknown
2023,35.07926197328386,11.197990814189827,2018.0424540842207,2018-01-16,S2A_MSIL1C_20180116T100341_N0500_R122_T32SPD_20230915T025004.SAFE,2018-01-16T10:11:04.553Z,Unknown
2024,35.232901608692934,11.172431433861275,2018.261425006342,2018-04-06,S2A_MSIL1C_20180406T100031_N0500_R122_T32SPD_20230906T200737.SAFE,2018-04-06T10:11:11.774Z,Unknown
